Source_Station_Name,Destination_Station_Name,Train_Count
DELHI JN.,ROHTAK JN.,4
HAZRAT NIZAMUDDIN JN,HAZRAT NIZAMUDDIN JN,4
RADHIKAPUR,KATIHAR JN.,4
SOLAPUR,PUNE JN.,4
ROHTAK JN.,JIND JN,4
GODHRA JN.,ANAND JN.,3
PANVEL,BELAPUR C.B.D,3
PILIBHIT JN.,MAJHOLA PAKARIYA,3
MACHILIPATNAM,GUDIVADA JN.,3
HAZRAT NIZAMUDDIN JN,JABALPUR,3
BATHINDA JN,FAZILKA JN.,3
HYDERABAD DECCAN,QUILON,3
BHUSAVAL JN.,SURAT,3
PANIPAT JN.,NEW DELHI,3
HANSDIHA,BHAGALPUR,3
CHALISGAON JN.,DHULE,3
CHENNAI CENTRAL,MYSORE JN.,3
HAZRAT NIZAMUDDIN JN,ERNAKULAM. JN,3
PURI,NEW DELHI,3
TIRODI,TUMSAR RD,3
RAMANAGARAM,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),3
PANIPAT JN.,AMBALA CANTT JN,3
BARHNI,GORAKHPUR JN.,3
TIRUNELVELI JN,SENGOTTAI JN,3
JAIPUR JN.,BANDRA TERMINUS,3
JAIJON DOABA,JALANDHAR CITY JN.,3
SHAKUR BASTI,PALWAL,3
HARIDWAR JN,RISHIKESH,3
BIKANER JN.,DELHI-SARAI ROHILLA,3
TIRUNELVELI JN,CHENNAI EGMORE,3
JABALPUR,HAZRAT NIZAMUDDIN JN,3
CHENNAI CENTRAL,TIRUPATI,3
MANGALORE CENTRAL,CHENNAI CENTRAL,3
FARRUKHABAD JN,KASGANJ JN.,3
BARMER,JODHPUR JN.,3
GONDIA JN.,ITWARI JN.,3
GUMMIDIPUNDI,VELACHEERY,3
PONDICHERRY,VILLUPURAM JN.,3
PALWAL,NEW DELHI,3
HAZRAT NIZAMUDDIN JN,CHENNAI CENTRAL,3
TIRUCHIRAPPALLI JN.,ERODE JN.,3
GONDIA JN.,BALHARSHAH,3
HATIA,PATNA JN.,3
FAZILKA JN.,BATHINDA JN,3
BUDGE BUDGE,NAIHATI JN.,3
BIKANER JN.,MERTA ROAD JN.,3
GOBARDANGA,SEALDAH,3
SILIGURI JN.,KATIHAR JN.,3
CHENNAI CENTRAL,SANTRAGACHI JN.,3
AHMEDABAD,PATAN,3
BIKANER JN.,BANDRA TERMINUS,3
ISLAMPUR,PATNA JN.,3
MADURAI JN,CHENNAI EGMORE,3
ITWARI JN.,GONDIA JN.,3
RAMESWARAM,MADURAI JN,3
BILASPUR JN.,RAIPUR JN.,3
GAYA JN.,DEHRI-ON-SON,3
HOWRAH JN.,MECHEDA,3
SURENDRANAGAR,BHAVNAGAR TERMINUS,3
MADURAI JN,SENGOTTAI JN,3
GORAKHPUR JN.,KOLKATA,3
DEHRA DUN,NEW DELHI,3
SAHARSA JN.,PURNEA JN.,3
SHANTIPUR JN.,RANAGHAT JN.,3
PATHANKOT JN.,JALANDHAR CITY JN.,3
SURATGARH JN.,SHRI GANGANAGAR,3
HOWRAH JN.,RAMPUR HAT,3
HOWRAH JN.,RANCHI,3
LUCKNOW JN.,SULTANPUR JN.,3
DEHRI-ON-SON,GAYA JN.,3
QUILON,HYDERABAD DECCAN,3
SANTRAGACHI JN.,CHENNAI CENTRAL,3
ADRA,ASANSOL MAIN,3
HOWRAH JN.,DIGHA FS,3
PATNA JN.,ISLAMPUR,3
PATNA JN.,HATIA,3
DARBHANGA JN.,BIRAUL,3
BHIWANI JN.,ROHTAK JN.,3
LUCKNOW JN.,NEW DELHI,3
GEVRA-ROAD,BILASPUR JN.,3
CANNING,SONARPUR JN.,3
TARIGHAT,DILDARNAGAR JN,3
HOWRAH JN.,HALDIA,3
BHAVNAGAR TERMINUS,SURENDRANAGAR,3
TALEGAON,PUNE JN.,3
CHENNAI CENTRAL,AHMEDABAD,3
MADURAI JN,RAMESWARAM,3
YESVANTPUR JN.,GORAKHPUR JN.,3
TALGUPPA,MYSORE JN.,3
PANVEL,RAVLI JN,3
BENOY BADAL DINESH BAG,SEALDAH,3
MADGOAN JN.,MANGALORE CENTRAL,3
HYDERABAD DECCAN,FALAKNUMA,3
HALDIA,HOWRAH JN.,3
PURULIA JN.,HOWRAH JN.,3
CHENNAI CENTRAL,MANGALORE CENTRAL,3
MAJHOLA PAKARIYA,PILIBHIT JN.,3
GORAKHPUR JN.,SIWAN JN.,3
BELAPUR C.B.D,THANE,3
GORAKHPUR JN.,YESVANTPUR JN.,3
GORAKHPUR JN.,BARHNI,3
BIRAUL,DARBHANGA JN.,3
SULLURUPETTA,NELLORE,3
SAMASTIPUR JN.,MUZAFFARPUR JN.,3
PHULERA JN.,REWARI JN.,3
SULTANPUR JN.,LUCKNOW JN.,3
TENALI JN.,REPALLE,3
PATAN,AHMEDABAD,3
DAUND JN.,PUNE JN.,3
SAMASTIPUR JN.,JAYNAGAR,3
HOWRAH JN.,AZIMGANJ JN.,3
BHAGALPUR,HANSDIHA,3
LOKMANYA TILAK TERMINUS,VARANASI JN.,3
PATNA JN.,MUGHAL SARAI JN.,3
MAHOBA,KHAJAURAHO,3
HOWRAH JN.,AMTA,3
HUBLI JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),3
CHENNAI CENTRAL,HAZRAT NIZAMUDDIN JN,3
HISAR JN,REWARI JN.,3
PARADEEP,CUTTACK JN.,3
LUDHIANA JN.,HISAR JN,3
AHMEDABAD,CHENNAI CENTRAL,3
SURAT,BHUSAVAL JN.,3
CHENNAI BEACH,ARAKKONAM JN,3
MEERUT CITY JN.,KHURJA JN,3
SECUNDERABAD JN.,MANOHARABAD,3
JODHPUR JN.,VARANASI JN.,3
SARDARSAHAR,RATANAGARH JN,3
RANCHI,LOHARDAGA  BS,3
JOLARPETTAI JN,ERODE JN.,3
