Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
55030,GKP-NKE PASS,GORAKHPUR JN.,NARKATIAGANJ JN.,FRIDAY,Weekday
55031,JEA-LJN  PAS,NAKAHA JUNGLE,LUCKNOW JN.,FRIDAY,Weekday
55032,DAL-JEA PASS,DALIGANJ JN,NAKAHA JUNGLE,TUESDAY,Weekday
55033,GD-SSC  PASS,GONDA JN.,SITAPUR CANTT,WEDNESDAY,Weekday
55034,SPC-GD  PASS,SITAPUR CITY JN.,GONDA JN.,TUESDAY,Weekday
55035,GD-SCC PASSE,GONDA JN.,SITAPUR CANTT,SUNDAY,Weekend
55036,SCC-GD PASSE,SITAPUR CANTT,GONDA JN.,SUNDAY,Weekend
55037,BUW-SPC  PAS,BURHWAL JN.,SITAPUR CITY JN.,WEDNESDAY,Weekday
55038,SCC-BUW  PAS,SITAPUR CANTT,BURHWAL JN.,SUNDAY,Weekend
55041,NKE-GKP PASS,NARKATIAGANJ JN.,GORAKHPUR JN.,SATURDAY,Weekend
55042,GKP-BTH PASS,GORAKHPUR JN.,BETTIAH,WEDNESDAY,Weekday
55043,GKP-NTV PASS,GORAKHPUR JN.,NAUTANWA,WEDNESDAY,Weekday
55044,NTV-GKP PASS,NAUTANWA,GORAKHPUR JN.,THURSDAY,Weekday
55045,SCC-SPN PASS,SITAPUR CANTT,SHAHJAHANPUR JN,WEDNESDAY,Weekday
55046,SPN-SCC PASS,SHAHJAHANPUR JN,SITAPUR CANTT,MONDAY,Weekday
55049,JEA-DAL PASS,NAKAHA JUNGLE,DALIGANJ JN,THURSDAY,Weekday
55050,LJN-JEA  PAS,LUCKNOW JN.,NAKAHA JUNGLE,WEDNESDAY,Weekday
55051,GKP- NTV PAS,GORAKHPUR JN.,NAUTANWA,FRIDAY,Weekday
55052,NTV-GKP  PAS,NAUTANWA,GORAKHPUR JN.,SUNDAY,Weekend
55055,CPJ-GKP PASS,KAPTANGANJ JN.,GORAKHPUR JN.,TUESDAY,Weekday
55056,GKP-CPJ PASS,GORAKHPUR JN.,KAPTANGANJ JN.,SUNDAY,Weekend
55071,NKE-GKP PASS,NARKATIAGANJ JN.,GORAKHPUR JN.,THURSDAY,Weekday
55072,GKP-NKE PASS,GORAKHPUR JN.,NARKATIAGANJ JN.,THURSDAY,Weekday
55073,NKE-GKP PASS,NARKATIAGANJ JN.,GORAKHPUR JN.,TUESDAY,Weekday
55074,GKP-NKE PASS,GORAKHPUR JN.,NARKATIAGANJ JN.,TUESDAY,Weekday
55075,SV-GKP PASSA,SIWAN JN.,GORAKHPUR JN.,SUNDAY,Weekend
55076,GKP-SV PASSA,GORAKHPUR JN.,SIWAN JN.,MONDAY,Weekday
55077,GKP-BNY PASS,GORAKHPUR JN.,BARHNI,MONDAY,Weekday
55078,BNY-GKP PASS,BARHNI,GORAKHPUR JN.,THURSDAY,Weekday
55079,BTH-GKP PASS,BETTIAH,GORAKHPUR JN.,SUNDAY,Weekend
55080,GKP-NKE PASS,GORAKHPUR JN.,NARKATIAGANJ JN.,TUESDAY,Weekday
55081,NKE-GKP PASS,NARKATIAGANJ JN.,GORAKHPUR JN.,WEDNESDAY,Weekday
55082,GKP-NKE PASS,GORAKHPUR JN.,NARKATIAGANJ JN.,THURSDAY,Weekday
55101,BTT-BHJ  PAS,BHATNI JN.,BARHAJ BAZAR,WEDNESDAY,Weekday
55102,BHJ-BTT PASS,BARHAJ BAZAR,BHATNI JN.,THURSDAY,Weekday
55103,BTT-BHJ  PAS,BHATNI JN.,BARHAJ BAZAR,SATURDAY,Weekend
55104,BHJ-BTT PASS,BARHAJ BAZAR,BHATNI JN.,MONDAY,Weekday
55105,SRU-BHJ PASS,SALEMPUR JN.,BARHAJ BAZAR,MONDAY,Weekday
55106,BHJ-SRU PASS,BARHAJ BAZAR,SALEMPUR JN.,SATURDAY,Weekend
55107,SV-THE PASSE,SIWAN JN.,THAWE JN.,TUESDAY,Weekday
55108,THE-SV PASSE,THAWE JN.,SIWAN JN.,SATURDAY,Weekend
55109,SV-THE PASSE,SIWAN JN.,THAWE JN.,THURSDAY,Weekday
55110,THE-SV PASSE,THAWE JN.,SIWAN JN.,SUNDAY,Weekend
55111,SV-THE PASSE,SIWAN JN.,THAWE JN.,FRIDAY,Weekday
55112,THE-SV PASSE,THAWE JN.,SIWAN JN.,SUNDAY,Weekend
55113,SV-THE PASSE,SIWAN JN.,THAWE JN.,FRIDAY,Weekday
55114,THE-SV PASSE,THAWE JN.,SIWAN JN.,FRIDAY,Weekday
55115,CPR-SV PASSE,CHHAPRA JN.,BHATNI JN.,WEDNESDAY,Weekday
55116,SV-CPR PASSE,BHATNI JN.,CHHAPRA JN.,SATURDAY,Weekend
55119,GKP-BSB PASS,GORAKHPUR JN.,VARANASI CITY,THURSDAY,Weekday
55120,BSB-GKP PASS,VARANASI CITY,GORAKHPUR JN.,SUNDAY,Weekend
55122,MUV-BTT PASS,MANDUADIH,BHATNI JN.,SATURDAY,Weekend
55123,BTT-BCY PASS,BHATNI JN.,VARANASI CITY,FRIDAY,Weekday
55125,MUV - ALY  P,MANDUADIH,ALLAHABAD CITY,SUNDAY,Weekend
55126,ALY-BSB PASS,ALLAHABAD CITY,MANDUADIH,TUESDAY,Weekday
55127,BSB- ALY  PA,MANDUADIH,ALLAHABAD CITY,SATURDAY,Weekend
55128,ALY - MUV PA,ALLAHABAD CITY,MANDUADIH,THURSDAY,Weekday
55129,BSB-ALY PASS,MANDUADIH,ALLAHABAD CITY,FRIDAY,Weekday
55130,ALY- MUV PAS,ALLAHABAD CITY,MANDUADIH,THURSDAY,Weekday
55131,CPR-BSB PASS,CHHAPRA JN.,VARANASI CITY,FRIDAY,Weekday
55132,BCY-CPR PASS,VARANASI CITY,CHHAPRA JN.,TUESDAY,Weekday
55133,BUI - BCY  P,BALLIA,VARANASI CITY,WEDNESDAY,Weekday
55134,MUV - BUI  P,VARANASI CITY,BALLIA,FRIDAY,Weekday
55135,AMH-MUV PASS,AZAMGARH,VARANASI CITY,SATURDAY,Weekend
55136,MUV-AMH PASS,VARANASI CITY,AZAMGARH,SATURDAY,Weekend
55137,BUI - SHG  P,BALLIA,SHAHGANJ JN.,THURSDAY,Weekday
55138,SHG - BUI  P,SHAHGANJ JN.,BALLIA,MONDAY,Weekday
55139,BUI- SHG PAS,BALLIA,SHAHGANJ JN.,MONDAY,Weekday
55140,SHG - BUI  P,SHAHGANJ JN.,BALLIA,TUESDAY,Weekday
55141,GKP-NTV PASS,GORAKHPUR JN.,NAUTANWA,FRIDAY,Weekday
55142,NTV-GKP PASS,NAUTANWA,GORAKHPUR JN.,TUESDAY,Weekday
55143,ARJ-JNU PASS,AUNRIHAR JN.,JAUNPUR JN.,SUNDAY,Weekend
55144,JNU-ARJ PASS,JAUNPUR JN.,AUNRIHAR JN.,FRIDAY,Weekday
55145,SRU-BHJ  PAS,SALEMPUR JN.,BARHAJ BAZAR,WEDNESDAY,Weekday
55146,BHJ-SRU PASS,BARHAJ BAZAR,SALEMPUR JN.,TUESDAY,Weekday
55149,GKP-BCY PASS,GORAKHPUR JN.,VARANASI CITY,FRIDAY,Weekday
55150,BCY-GKP PASS,VARANASI CITY,GORAKHPUR JN.,TUESDAY,Weekday
55159,ARJ- JNU PAS,AUNRIHAR JN.,JAUNPUR JN.,MONDAY,Weekday
55160,JNU-ARJ PASS,JAUNPUR JN.,AUNRIHAR JN.,FRIDAY,Weekday
55163,SHG-MAU-ARJ,SHAHGANJ JN.,AUNRIHAR JN.,SUNDAY,Weekend
55164,ARJ-MAU-SHG,AUNRIHAR JN.,SHAHGANJ JN.,SUNDAY,Weekend
