Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
GUMMIDIPUNDI,6,9,5,4,2,3,2,4.428571428571429
GUNA,0,0,1,0,0,1,0,0.2857142857142857
GUNTAKAL JN.,4,0,0,0,1,2,1,1.1428571428571428
GUNTUR JN.,2,3,3,4,2,6,2,3.142857142857143
GUNUPUR,0,1,1,2,0,0,0,0.5714285714285714
GURAP,0,0,0,1,0,0,0,0.14285714285714285
GURUVAYUR,2,0,1,0,1,3,0,1.0
GUWAHATI,3,3,6,6,5,2,10,5.0
GWALIOR (NG),0,1,0,1,0,0,1,0.42857142857142855
GWALIOR JN,1,2,1,2,3,0,2,1.5714285714285714
HABIBGANJ,2,2,0,0,1,1,0,0.8571428571428571
HABRA,0,0,1,3,2,0,2,1.1428571428571428
HAIBARGAON,0,1,0,0,0,0,0,0.14285714285714285
HAJIPUR JN.,0,1,0,1,0,0,1,0.42857142857142855
HALDIA,4,1,0,0,2,0,0,1.0
HALDIBARI,0,1,2,0,0,1,1,0.7142857142857143
HANSDIHA,0,0,1,0,1,1,1,0.5714285714285714
HANUMANGARH JN.,1,0,0,0,0,0,1,0.2857142857142857
HAPA,2,0,1,1,0,1,0,0.7142857142857143
HARI PAL,0,0,1,0,0,0,0,0.14285714285714285
HARIDWAR JN,3,3,3,3,2,2,3,2.7142857142857144
HARIHAR JN.,1,0,0,0,0,0,1,0.2857142857142857
HASANABAD,1,4,2,4,2,2,7,3.142857142857143
HASSAN JN.,0,0,0,1,0,0,0,0.14285714285714285
HATHRAS JN.,0,1,0,0,0,0,0,0.14285714285714285
HATHRAS QILAH,0,0,0,2,0,0,0,0.2857142857142857
HATIA,3,3,5,1,4,3,0,2.7142857142857144
HAZARIBAGH ROAD,0,0,0,0,0,1,0,0.14285714285714285
HAZRAT NIZAMUDDIN JN,12,17,9,8,12,4,4,9.428571428571429
HIJLI,0,0,0,0,0,2,0,0.2857142857142857
HINDUPUR,0,0,1,0,0,1,0,0.2857142857142857
HISAR JN,4,1,1,2,0,5,1,2.0
HOSHIARPUR,1,2,0,0,1,1,3,1.1428571428571428
HOSPET JN.,1,0,0,0,0,0,0,0.14285714285714285
HOSUR,0,1,0,0,0,0,1,0.2857142857142857
HOWRAH JN.,50,50,60,28,51,53,46,48.285714285714285
HUBLI JN.,3,3,5,3,6,2,4,3.7142857142857144
HUMNABAD,1,0,0,0,0,0,0,0.14285714285714285
HYDERABAD DECCAN,7,9,10,11,4,5,13,8.428571428571429
IDGAH,1,0,0,0,1,0,2,0.5714285714285714
IGATPURI,0,0,0,0,0,1,0,0.14285714285714285
INDARA JN.,0,1,1,0,0,2,0,0.5714285714285714
INDORE BG,5,5,6,7,4,2,12,5.857142857142857
ISLAMPUR,0,1,2,0,0,2,0,0.7142857142857143
ITARSI,0,1,3,2,0,0,0,0.8571428571428571
ITWARI JN.,1,3,1,3,1,2,1,1.7142857142857142
JABALPUR,1,4,4,8,6,2,2,3.857142857142857
JAGADALPUR,0,2,0,0,0,1,0,0.42857142857142855
JAGITYAL,0,0,1,0,1,0,0,0.2857142857142857
JAIJON DOABA,0,1,0,0,1,0,1,0.42857142857142855
JAIPUR JN.,6,6,5,5,6,5,4,5.285714285714286
JAISALMER,0,0,4,0,2,0,2,1.1428571428571428
JAJPUR KEONJHAR ROAD,0,1,0,0,0,0,0,0.14285714285714285
JAKHAL JN.,0,2,0,0,0,0,0,0.2857142857142857
JAKLAIR,0,0,0,1,0,0,0,0.14285714285714285
JALANDHAR CITY JN.,5,5,6,2,4,3,2,3.857142857142857
JALNA,1,0,0,0,1,1,1,0.5714285714285714
JAMALPUR JN.,6,3,1,1,3,5,5,3.4285714285714284
JAMMU TAWI,2,2,6,4,5,4,6,4.142857142857143
JAMNAGAR,0,2,0,0,0,1,1,0.5714285714285714
JANGAON,1,0,0,0,0,0,0,0.14285714285714285
JANGIPUR ROAD,0,1,0,0,0,0,0,0.14285714285714285
JASIDIH JN.,1,6,1,3,0,4,7,3.142857142857143
JAUNPUR JN.,1,0,2,0,2,1,0,0.8571428571428571
JAWALAMUKHI ROAD,0,0,0,0,0,1,0,0.14285714285714285
JAYNAGAR,0,6,5,0,5,1,2,2.7142857142857144
JETALSAR JN (MG),1,0,0,1,0,0,0,0.2857142857142857
JHAJHA,1,1,1,0,1,1,1,0.8571428571428571
JHALAWAR CITY,0,0,2,0,0,0,1,0.42857142857142855
JHANSI JN,2,2,5,2,0,2,1,2.0
JHARGRAM,1,2,1,2,1,2,0,1.2857142857142858
JHARSUGUDA JN.,0,0,3,1,0,0,1,0.7142857142857143
JIND JN,2,3,0,5,2,2,1,2.142857142857143
JIRIBAM,0,0,1,0,0,0,0,0.14285714285714285
JODHPUR JN.,3,3,9,3,2,6,4,4.285714285714286
JOGBANI,2,1,4,0,1,1,1,1.4285714285714286
JOGINDER NAGAR,0,0,0,0,0,0,2,0.2857142857142857
JOLARPETTAI JN,0,1,0,0,2,2,1,0.8571428571428571
JORHAT TOWN,0,0,0,0,0,0,2,0.2857142857142857
JUNAGADH JN,0,0,1,0,1,0,0,0.2857142857142857
JUNAGARH ROAD,1,1,0,0,0,1,0,0.42857142857142855
KABAKA PUTTUR,0,0,1,1,0,0,0,0.2857142857142857
KACHEGUDA,1,8,6,3,2,6,4,4.285714285714286
KADAMBATTUR,1,1,2,0,0,0,0,0.5714285714285714
KAKINADA PORT,1,1,2,1,2,1,2,1.4285714285714286
KAKINADA TOWN,1,3,0,2,1,0,2,1.2857142857142858
KALIANPUR,1,0,0,0,0,0,1,0.2857142857142857
KALKA,4,3,3,1,1,1,2,2.142857142857143
KALYAN JN,40,42,34,32,42,48,47,40.714285714285715
KALYANI SIMANTA,5,3,3,1,4,0,1,2.4285714285714284
